name,cell_length_a,cell_length_b,cell_length_c,cell_angle_alpha,cell_angle_beta,cell_angle_gamma,lcd,pld,void_fraction,surface_area_m2g,surface_area_m2cm3,number_H,number_C,number_N,number_O,number_F,number_Cl,number_V,number_Cu,number_Zn,number_Br,number_Zr,adsorption
hMOF-14015,21.395362,21.395361,21.395355,90.019049,89.95606,89.953589,22.25,20.25,0.900836,4497.4,1381.6,19,60,0,13,0,17,0,0,4,0,0,0.933798
hMOF-5017258,18.050589,19.077142,19.076919,89.925643,92.275255,92.276109,18.25,16.75,0.856233,3472.9,1618.7,12,42,4,13,0,0,0,0,4,10,0,0.543031
hMOF-13440,13.033304,13.031981,13.032268,90.931652,89.077769,76.681394,10.75,9.25,0.782217,3761.4,2227.5,22,23,0,13,0,0,0,0,4,0,0,0.733137
hMOF-3000879,27.435584,27.434948,27.431174,60.005483,60.011353,59.993028,17.25,14.25,0.810182,4890.6,1765.2,176,122,8,56,0,0,0,0,8,0,0,0.86421
hMOF-3001976,21.883469,21.882911,21.879399,60.00654,60.013207,59.992231,15.25,13.75,0.827464,4452.3,1931.4,70,61,8,32,0,0,0,8,0,0,0,0.466855
hMOF-5071252,14.971486,15.944493,13.448316,89.99927,89.998199,83.544586,12.25,9.75,0.803652,4597.6,2205.8,22,38,2,18,0,0,0,2,0,0,0,0.47889
hMOF-5022054,12.645331,19.121063,12.645323,92.408124,89.977324,92.46798,11.75,10.75,0.794906,3920.7,1997.0,34,36,0,13,0,0,0,0,4,0,0,0.996083
hMOF-5048068,15.944551,15.944493,13.596369,89.999885,89.999164,83.486891,14.25,12.75,0.86841,6505.8,2149.1,12,32,2,8,0,0,0,0,2,0,0,0.405632
hMOF-1003797,21.606444,14.628931,21.606444,90.001559,59.99949,60.010776,8.25,6.25,0.616283,2491.2,2088.7,50,80,0,55,0,0,0,0,0,0,6,1.16247
hMOF-18633,9.065218,17.699083,16.776229,89.99479,90.003807,84.14945,5.25,2.75,0.492819,670.5,758.2,96,96,4,16,0,0,0,0,4,0,0,4.11507
hMOF-19132,19.288864,16.992695,18.366186,89.993794,89.977106,86.902234,7.25,6.25,0.715581,2702.8,2392.1,26,100,8,16,0,38,0,0,4,0,0,2.69953
hMOF-5003607,16.625547,16.625545,18.215399,89.973113,89.976077,90.025495,15.25,14.75,0.899007,5574.1,1580.7,2,30,2,13,0,0,0,0,4,0,0,0.506193
hMOF-5079163,16.992694,23.532357,15.455313,92.642146,87.142206,86.748258,6.25,3.75,0.49343,652.0,1113.1,45,156,24,36,0,0,0,6,0,39,0,3.23353
hMOF-5065257,10.654541,14.04422,9.130307,89.995545,89.999822,88.836403,7.25,6.25,0.634584,1734.9,1775.0,12,36,2,8,6,0,0,2,0,0,0,3.41402
